id,name,media_type,genres,created_by,published_by,short_description,franchises,regions
7,Absolute Carnage [2019],Comic,{},{},{Marvel Comics},"After turning Venom’s world upside down a year ago, the Sinister Symbiote is about to go through hell again ... only this time Carnage has come calling, and everyone who’s ever worn a symbiote is dead in his sights! ",{},
23,Batman & the Outsiders [2019],Comic,{},{},{DC Comics},"Several years ago Batman personally put the Barrera family into hiding after they suffered through terrible experiments at the hands of an organization called the Ark. Now all but one of them has turned up dead...and Batman needs to locate Sofia Barrera before the wrong people get their hands on her—and her surprising power! But it wouldn’t be Batman without a hidden agenda, would it? And when Black Lightning, Katana, the Signal and Orphan find out what Batman is really up to, their every loyalty will be called into question!",{},
25,Batman: Curse of the White Knight,Comic,{},{},{DC Comics},"Written and drawn by Sean Gordon Murphy, Batman: Curse of the White Knight, is published as part of the mature readers-focused DC Black Label imprint.",{},
26,Batman: Damned,Comic,{},{},{DC Comics},"DC BLACK LABEL, the highly anticipated new imprint from DC Comics, starts here!

<p>The Joker is dead.
 
<p>There is no doubt about that. But whether Batman finally snapped his scrawny neck or some other sinister force in Gotham City did the deed is still a mystery.Problem is, Batman can’t remember…and the more he digs into this labyrinthian case, the more his mind starts to doubt everything he’s uncovering. 

<p>So who better to set him straight than…John Constantine? Problem with that is as much as John loves a good mystery, he loves messing with people’s heads even more. So with John’s “help,” the pair will delve into the sordid underbelly of Gotham as they race toward the mind-blowing truth of who murdered The Joker.

<p>BATMAN: DAMNED is a bimonthly super-natural horror story told by two of comics’ greatest modern creators—a visceral thrill-ride that proudly puts the “black” in BLACK LABEL.",{},
28,Batman: Last Knight on Earth,Comic,{},{},{DC Comics},"Bruce Wayne wakes up in Arkham Asylum. Young. Sane. And...he was never Batman.  So begins this sprawling tale of the Dark Knight as he embarks on a quest through a devastated DC landscape featuring a massive cast of familiar faces from the DC Universe. As he tries to piece together the mystery of his past, he must unravel the cause of this terrible future and track down the unspeakable force that destroyed the world as he knew it…",{},
29,Batman/Superman [2019 - Current],Comic,{},{},{DC Comics},"Up in the sky, in the dark of the night, trust no one—for the Secret Six walk among us. Spinning out of the devastating events of the Batman Who Laughs, Superman and Batman are together once more in an all-new monthly series—and they’re facing a terrifying new threat that could strike from anywhere. The Dark Knight and the Man of Steel must journey into the depths of Gotham City to learn which of their fellow heroes has been transformed into the horrifying horseman of their most dangerous and deranged foe ever.",{},
31,Berserker Unbound,Comic,{Action},{},{Dark Horse},"A merciless sword and sorcery warrior finds himself blasted through a wormhole to a modern-day metropolis where he must protect those around him from an evil wizard determined to send him to hell. From the Eisner Award-winning team of Jeff Lemire, Mike Deodato Jr., and Frank Martin comes this urban warrior fantasy series!",{},
42,Books of Magic [2018],Comic,{Fantasy},{},{DC Comics},"Timothy Hunter may be destined to become the most powerful magician in the universe, but he's still a London teenager and having magical abilities complicates things more than it helps. It's not like he can use magic to pass his exams, stop being bullied, or convince his cute friend to date him. And while Tim's trying to live his life, there are cultists who want to kill him, believing his power will eventually corrupt him, and turn him into a merciless mage. Oh, and those are the good guys.",{},
48,Buffy the Vampire Slayer [BOOM! Studios],Comic,{Action},{},{Boom Studios},"This Buffy the Vampire Slayer comic marks a new start for the series under BOOM! Studios, after several years of comics based on the TV series by Dark Horse. ",{},
53,Captain Marvel [2019],Comic,{},{},{Marvel Comics},"As Captain Marvel, Carol Danvers has spent months in space protecting Earth from alien threats big and small, but now it’s time for Earth’s mightiest hero to come home. New York City has never looked so good. But every re-entry comes with the unexpected, and Carol is about to hit a whole lot of unexpected. It’s a fresh start and an oversized, star-studded welcome home for a hero who’s been punching the glass ceiling since the 1970s — and just in time for the first female-led film from Marvel Studios! The next 50 years of Captain Marvel starts here!",{},
