id,name,media_type,genres,created_by,published_by,short_description,franchises,regions
10,Alien: Blackout,Game,{Action},{},{},,{},"{US, AU, UK, JP}"
12,Analogue Mega Sg,Game,{Hardware},{},{Analogue Interactive},"Explore and re-live SEGA's massively popular video game system with no compromises with the Mega Sg console. Mega Sg plays all of your original Sega Genesis, Mega Drive and Master System games. ",{},"{US, AU, UK, JP}"
15,AO Tennis 2,Game,{Sports},{Big Ant Studios},{BigBen Interactive},"In AO Tennis 2, the second game in the official Australia Open series, tennis fans can take themselves from the outside courts to centre-stage glory in the all-new narrative-driven career mode. ",{},"{US, AU, UK, JP}"
16,Apex Legends,Game,"{Battle Royale,Shooter}",{Respawn Entertainment},{Electronic Arts},"Conquer with character in Apex Legends, a free-to-play Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. ",{},"{US, AU, UK, JP}"
17,Asgard’s Wrath,Game,{RPG},{Sanzaru Games},{Oculus Studios},Earn your place among the gods and prove your mettle in this Norse-inspired action adventure. Use your powers to complete Loki’s tests of worthiness by helping preordained Heroes of the Realms fulfill their destinies.,{},"{US, AU, UK, JP}"
18,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 1: Hunted,Game,{Action},{},{Ubisoft},"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history!",{},"{US, AU, UK, JP}"
19,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 2: Shadow Heritage,Game,{Action},{},{Ubisoft},"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history!",{},"{US, AU, UK, JP}"
20,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 3: Bloodline,Game,"{DLC / Expansion,Action}",{},{Ubisoft},"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history!",{},"{US, AU, UK, JP}"
21,Astral Chain,Game,{Action},{PlatinumGames},{Nintendo},"In the action-packed game Astral Chain from PlatinumGames, you are part of a police special forces unit in a multi-cultural futuristic city. Players work together with a special living weapon, the Legion, in a synergetic action system of battle and exploration. ",{},"{US, AU, UK, JP}"
22,Atlas,Game,"{Action,RPG}","{Instinct Games,Grapeshot Games}",{Grapeshot Games},,{},"{US, AU, UK, JP}"
