id,media_type,short_name,long_description,slug,genres,created_by,published_by,franchises,regions
1,Movie,1917,"At the height of the First World War, two young British soldiers, Schofield (George MacKay) and Blake (Dean-Charles Chapman) are given a seemingly impossible mission. In a race against time, they must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers -- Blake’s own brother among them.

<p>1917 is directed by Sam Mendes, who wrote the screenplay with Krysty Wilson-Cairns (Showtime’s Penny Dreadful). The film is produced by Mendes and Pippa Harris for their Neal Street Productions, Jayne-Ann Tenggren, Callum McDougall and Brian Oliver.",1917,{Drama},{Amblin Entertainment},{Universal Pictures},{},
2,Movie,A Beautiful Day in the Neighborhood,"Tom Hanks portrays Mister Rogers in a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.",a-beautiful-day-in-the-neighborhood,{Drama},{Big Beach Films},"{Sony Pictures Entertainment,TriStar Pictures}",{},
3,Show,A Discovery of Witches,"Cased on the bestselling and critically-acclaimed novel of the same name by Deborah Harkness, ""A Discovery of Witches"" is a modern-day love story set against the backdrop of Oxford academic life. Historian Diana Bishop (Teresa Palmer), a reluctant witch denying her heritage, accidentally discovers a long-lost bewitched manuscript in Oxford’s Bodleian Library, and is immediately thrown into the heart of a dangerous underworld. On her journey, she finds herself tossed into the path of enigmatic vampire and geneticist, Matthew Clairmont (Matthew Goode), who hides a dark family secret.",a-discovery-of-witches,{Fantasy},{},"{Shudder,Sundance Now}",{},
4,Movie,A Hidden Life,"Based on real events, A Hidden Life is the story of an unsung hero, Franz Jägerstätter, who refused to fight for the Nazis in World War II. When the Austrian peasant farmer is faced with the threat of execution for treason, it is his unwavering faith and his love for his wife Fani and children that keeps his spirit alive. ",a-hidden-life,{Drama},{},{Fox Searchlight Pictures},{},
5,Movie,A Simple Favor,"A Simple Favor, directed by Paul Feig, centers around Stephanie (Anna Kendrick), a mommy blogger who seeks to uncover the truth behind her best friend Emily's (Blake Lively) sudden disappearance from their small town.",a-simple-favor,{Crime},{},{Lionsgate},{},
6,Movie,Abominable,"When teenage Yi (Chloe Bennet) encounters a young Yeti on the roof of her apartment building in Shanghai, she and her mischievous friends, Jin (Tenzing Norgay Trainor) and Peng (Albert Tsai), name him ""Everest"" and embark on an epic quest to reunite the magical creature with his family at the highest point on Earth.",abominable-2019,{Animation},{DreamWorks Animation},{Universal Pictures},{},
7,Comic,Absolute Carnage,"After turning Venom’s world upside down a year ago, the Sinister Symbiote is about to go through hell again ... only this time Carnage has come calling, and everyone who’s ever worn a symbiote is dead in his sights! ",absolute-carnage,{},{},{Marvel Comics},{},
8,Show,After Life,"After his wife Lisa suddenly dies, Tony (Ricky Gervais) changes. He considers taking his own life, but decides instead to live long enough to punish the world by saying and doing whatever he likes from now on. He thinks it's like a Super Power - not caring about himself or anyone else - but it turns out to be tricky when everyone is trying to save the nice guy they used to know.",after-life,{Comedy},{},{Netflix.com},{},
9,Show,,"Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work. ",aggretsuko,{Anime},{},{Netflix.com},{},
10,Game,Alien: Blackout,,alien-blackout,{Action},{},{},{},"{US, AU, UK, JP}"
11,Show,All Elite Wrestling,"Founded by President and CEO Tony Khan, AEW (All Elite Wrestling) is headlined by a diverse roster of world-class male and female professional wrestlers. Focused on fast-paced, high-impact competitions, AEW offers fans more athleticism along with real sports analytics. Wrestlers are also given freedom to explore their characters and highlight their athletic abilities. Introducing statistics to wrestling for the first time ever, AEW will raise the stakes for its matches and deepen fan engagement by tracking each competitor’s wins and losses as wrestlers pursue championships. Their moves and damage to their opponents will also be analyzed on-air to provide insights into their winning streaks. ",all-elite-wrestling,{Pro Wrestling},{},{TNT},{},
12,Game,Mega Sg,"Explore and re-live SEGA's massively popular video game system with no compromises with the Mega Sg console. Engineered completely in FPGA, the Mega Sg is compatible with the 2,180+ Sega Genesis, Mega Drive and Master System game cartridge library, and is also compatible with the original Sega CD & Mega CD add-on. ",analogue-mega-sg,{Hardware},{},{Analogue Interactive},{},"{US, AU, UK, JP}"
13,Movie,Anna And The Apocalypse,"A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other...",anna-and-the-apocalypse,"{Horror,Comedy}",{},{Orion Pictures},{},
14,Show,Another Life,"Another Life centers on astronaut Niko Breckinridge (Katee Sackhoff) who is focused on searching for alien intelligence.  She leads a crew on a mission to explore the genesis of an alien artifact.  As Niko and her young crew investigate, they face unimaginable danger on what might very well be a one-way mission.",another-life,{Sci-Fi},{},{Netflix.com},{},
15,Game,AO Tennis 2,"In AO Tennis 2, the second game in the official Australia Open series, tennis fans can take themselves from the outside courts to centre-stage glory in the all-new narrative-driven career mode. For the first time in AO Tennis, success for a young talented player depends as much on external events as great play on the court, which provides deeper immersion into the world of professional tennis. AO Tennis 2 includes a roster of some of the brightest talents across both the ATP and WTA, including Rafael Nadal, Ash Barty, Angélique Kerber and many others. All venues that will be used in the 2020 Australian Open will also be available in the game, so fans can enjoy maximum authenticity as they play along with the Australian summer of tennis.
<p>
Players can once again use Big Ant's celebrated content editor, which was loved by the community in AO Tennis, to customize every element of their game. Furthermore, all content created and shared by users since the first game from 2018 will be available in AO Tennis 2. That's over 20,000 players and hundreds of courts that can be enjoyed by fans of the sport. ",ao-tennis-2,{Sports},{Big Ant Studios},{BigBen Interactive},{},"{US, AU, UK, JP}"
16,Game,Apex Legends,"Conquer with character in Apex Legends, a free-to-play Battle Royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the Frontier. Master an ever-growing roster of diverse legends, deep tactical squad play, and bold new innovations that level-up the Battle Royale experience -- all within a rugged world where anything goes. 
<p>
Experience a brand-new array of innovative features that level-up the Battle Royale genre, including Respawn Beacons, Smart Comms, Intelligent Inventory, and an all-new way to drop into the action with Jumpmaster deployment. Choose your Legend and combine their unique skills together with other players to form the ultimate crew. Use your abilities -- and your wits -- to make strategic calls on the fly, adapting your crew's strengths to meet new challenges as the match evolves. Drop in and loot up with a host of powerful weapons, diverse attachments, and useful armor to protect you in battle. After the battle, collect a wealth of cosmetic options for personalizing your character and weapons, and unlock new ways to show off during the match. ",apex-legends,"{Battle Royale,Shooter}",{Respawn Entertainment},{Electronic Arts},{},"{US, AU, UK, JP}"
17,Game,Asgard’s Wrath,"Become the next great Asgardian god! Earn your place among the gods and prove your mettle in this Norse-inspired action-adventure RPG. Use your powers to complete Loki’s tests of worthiness by helping preordained Heroes of the Realms fulfill their destinies. Sharpen your swordplay and bring your own fighting style into the fray with next-level combat. Possess different classes of mortal heroes, solve larger-than-life puzzles, and transform animals into warrior companions that you lead into battle. Answer the call, Asgardian. God-scale VR awaits! ",asgards-wrath,{RPG},{Sanzaru Games},{Oculus Studios},{},"{US, AU, UK, JP}"
18,Game,Assassin's Creed Odyssey: Hunted DLC,"Continue your odyssey in Assassin's Creed Odyssey: Legacy of the First Blade, a 3-part DLC expansion series. Encounter the legend who first wielded the assassin's Hidden Blade and change the course of history! Discover new stories and enemies as you upgrade your Spartan hero with enhanced gear and brand new abilities. Upgrade your Spartan hero and boost your legend with enhanced gear and brand-new abilities. Combat new and unrelenting enemies on land and sea as you journey through Ancient Greece. Explore the world and uncover new revelations about the origins of the Assassin's Brotherhood. ",assassins-creed-odyssey-legacy-of-the-first-blade-episode-1-hunted,{Action},{},{Ubisoft},{},"{US, AU, UK, JP}"
