id,name,media_type,genres,created_by,published_by,short_description,franchises,regions
1,1917,Movie,{Drama},{Amblin Entertainment},{Universal Pictures},Sam Mendes' World War 1 epic centers around two young soldiers who race to deliver a critical message to their superiors.,{},
2,A Beautiful Day in the Neighborhood,Movie,{Drama},{Big Beach Films},"{Sony Pictures Entertainment,TriStar Pictures}","Tom Hanks portrays Mister Rogers in a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.",{},
4,A Hidden Life,Movie,{Drama},{},{Fox Searchlight Pictures},"Based on real events, A Hidden Life is the story of an unsung hero, Franz Jägerstätter, who refused to fight for the Nazis in World War II. ",{},
5,A Simple Favor,Movie,{Crime},{},{Lionsgate},"A Simple Favor, directed by Paul Feig, centers around Stephanie (Anna Kendrick), a mommy blogger who seeks to uncover the truth behind her best friend Emily's (Blake Lively) sudden disappearance from their small town.",{},
6,Abominable,Movie,{Animation},{DreamWorks Animation},{Universal Pictures},"When teenage Yi (Chloe Bennet) encounters a young Yeti on the roof of her apartment building in Shanghai, she and her mischievous friends, Jin (Tenzing Norgay Trainor) and Peng (Albert Tsai), name him ""Everest"" and embark on an epic quest to reunite the magical creature with his family at the highest point on Earth.",{},
13,Anna And The Apocalypse,Movie,"{Horror,Comedy}",{},{Orion Pictures},"A zombie apocalypse threatens the sleepy town of Little Haven - at Christmas - forcing Anna and her friends to fight, slash and sing their way to survival, facing the undead in a desperate race to reach their loved ones. But they soon discover that no one is safe in this new world, and with civilization falling apart around them, the only people they can truly rely on are each other...",{},
24,Batman vs. Teenage Mutant Ninja Turtles,Movie,{Animation},{},{Warner Home Video},Batman vs. Teenage Mutant Ninja Turtles finds Gotham City reaching new levels of danger when Shredder joins forces with Ra's al Ghul to enact a nefarious plan – leading to the team-up of the Dark Knight and the Turtles to combat the combined might of the Foot Clan and League of Assassins!,{},
27,Batman: Hush,Movie,"{Animation,Super-Hero,Action}",{},{Warner Home Video},"Inspired by the seminal DC classic, Batman: Hush centers on a mysterious new villain known only as Hush, who uses a rogues' gallery of villains to destroy Batman’s crime-fighting career as well as Bruce Wayne’s personal life. ",{DC Comics},
32,Between Two Ferns: The Movie,Movie,{Comedy},{},{Netflix},Zach Galifianakis attempts to restore his reputation in a series of high-profile celebrity interviews.,{},
34,Bird Box,Movie,{Thriller},{},{Netflix},"Sandra Bullock, John Malkovich, and Sarah Paulson star in this thriller from Susanne Bier.",{},
