id,name,short_name,created_at,updated_at,review_url,review_score
1,1917,1917,2018-12-13 17:08:33.408-08,2020-01-09 12:55:52.386-08,https://www.ign.com/articles/2020/01/09/1917-review,9.5
2,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,2018-09-28 08:46:24.108-07,2019-09-20 10:48:05.216-07,https://www.ign.com/articles/2019/09/09/a-beautiful-day-in-the-neighborhood-review-mr-rogers-movie,8.5
3,A Discovery of Witches,A Discovery of Witches,2018-10-06 10:08:27.87-07,2019-03-13 11:56:56.805-07,https://www.ign.com/articles/2019/01/17/a-discovery-of-witches-season-1-review,7.0
4,A Hidden Life,A Hidden Life,2019-11-12 16:46:40.821-08,2019-11-12 16:50:43.556-08,https://www.ign.com/articles/2019/12/11/a-hidden-life-review,8.5
5,A Simple Favor,A Simple Favor,2018-08-17 02:42:04.683-07,2018-09-14 12:53:36.881-07,https://www.ign.com/articles/2018/09/14/a-simple-favor-review,8.7
6,Abominable,Abominable,2019-02-14 10:00:33.618-08,2019-09-20 16:57:05.271-07,https://www.ign.com/articles/2019/09/13/abominable-review,6.0
7,Absolute Carnage [2019],Absolute Carnage,2019-05-15 14:09:55.128-07,2019-10-14 14:44:16.704-07,https://www.ign.com/articles/2019/08/07/carnage-brings-a-dose-of-horror-to-spider-mans-world-absolute-carnage-2-review,8.4
8,After Life,After Life,2018-05-10 10:39:43.379-07,2019-03-08 10:01:10.066-08,https://www.ign.com/articles/2019/03/08/netflixs-after-life-review,7.3
9,Aggretsuko,,2018-04-25 17:21:17.454-07,2018-04-26 12:29:20.871-07,https://www.ign.com/articles/2018/04/26/netflixs-aggretsuko-season-1-review,8.0
10,Alien: Blackout,Alien: Blackout,2019-01-07 09:49:48.638-08,2019-01-11 10:07:36.397-08,https://www.ign.com/articles/2019/01/29/alien-blackout-review,6.3
11,All Elite Wrestling,All Elite Wrestling,2019-07-24 10:19:28.708-07,2019-10-03 15:32:26.026-07,https://www.ign.com/articles/2019/10/03/aew-dynamite-tnt-series-premiere-review,8.4
12,Analogue Mega Sg,Mega Sg,2018-10-16 10:26:58.84-07,2019-03-25 08:00:17.032-07,https://www.ign.com/articles/2019/03/25/analogue-mega-sg-review,9.0
13,Anna And The Apocalypse,Anna And The Apocalypse,2018-09-05 11:37:41.363-07,2018-11-30 17:39:52.834-08,https://www.ign.com/articles/2018/11/30/anna-and-the-apocalypse-review,8.1
14,Another Life,Another Life,2018-05-10 10:51:23.092-07,2019-07-22 16:52:03.591-07,https://www.ign.com/articles/2019/07/25/netflixs-another-life-season-1-review,5.0
15,AO Tennis 2,AO Tennis 2,2019-11-07 15:07:03.666-08,2020-02-14 12:22:29.474-08,https://www.ign.com/articles/2020/01/08/ao-tennis-2-review,7.0
16,Apex Legends,Apex Legends,2019-02-04 01:00:30.682-08,2019-02-22 14:42:34.89-08,https://www.ign.com/articles/2019/02/22/buy-apex-legends-coins-cheap,9.0
17,Asgard’s Wrath,Asgard’s Wrath,2019-09-25 11:49:06.167-07,2019-10-10 16:30:05.571-07,https://www.ign.com/articles/2019/10/10/asgards-wrath-review,9.4
18,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 1: Hunted,Assassin's Creed Odyssey: Hunted DLC,2018-12-04 15:44:35.613-08,2020-01-07 15:06:20.008-08,https://www.ign.com/articles/2018/12/03/assassins-creed-odyssey-dlc-a-legacy-of-the-first-blade-hunted-review,7.0
19,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 2: Shadow Heritage,Assassin's Creed Odyssey: Shadow Heritage DLC,2018-12-04 15:44:40.526-08,2020-01-07 15:06:22.815-08,https://www.ign.com/articles/2019/01/14/assassins-creed-odyssey-dlc-a-legacy-of-the-first-blade-shadow-heritage-review,7.0
20,Assassin's Creed Odyssey: Legacy of the First Blade -- Episode 3: Bloodline,Assassin's Creed Odyssey: Bloodline DLC,2018-12-04 15:44:46.568-08,2020-01-07 15:06:25.266-08,https://www.ign.com/articles/2019/03/04/assassins-creed-odyssey-dlc-a-legacy-of-the-first-blade-bloodline-review,8.0
21,Astral Chain,Astral Chain,2019-02-13 14:34:32.784-08,2019-09-13 16:43:43.884-07,https://www.ign.com/articles/2019/08/26/astral-chain-review,9.0
22,Atlas,Atlas,2018-12-06 19:29:19.791-08,2019-09-27 16:53:11.423-07,https://www.ign.com/articles/2019/01/18/atlas-early-access-review,4.8
